/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
🔥 [指挥部介入] 正在从真实的 Parquet 矿脉中构建全局词表...
✅ 词表重塑完毕！(模型不再是文盲！)
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/train-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa_full/data/test-full.parquet']
[2026-02-25 18:19:05] Running dummy_scienceqa/liquid_real_train on device=cuda
[2026-02-25 18:25:46] [dummy_scienceqa/liquid_real_train] epoch=3 step=640 loss=0.5683 acc=0.7759
[2026-02-25 18:25:49] [dummy_scienceqa/liquid_real_train] epoch=3 step=660 loss=0.5679 acc=0.7760
[2026-02-25 18:25:52] [dummy_scienceqa/liquid_real_train] epoch=3 step=680 loss=0.5669 acc=0.7756
[2026-02-25 18:25:55] [dummy_scienceqa/liquid_real_train] epoch=3 step=700 loss=0.5666 acc=0.7761
[2026-02-25 18:25:58] [dummy_scienceqa/liquid_real_train] epoch=3 step=720 loss=0.5663 acc=0.7756
[2026-02-25 18:26:01] [dummy_scienceqa/liquid_real_train] epoch=3 step=740 loss=0.5616 acc=0.7770
[2026-02-25 18:26:04] [dummy_scienceqa/liquid_real_train] epoch=3 step=760 loss=0.5594 acc=0.7780
[2026-02-25 18:26:07] [dummy_scienceqa/liquid_real_train] epoch=3 step=780 loss=0.5609 acc=0.7779
[2026-02-25 18:26:45] [dummy_scienceqa/liquid_real_train] epoch=4 step=20 loss=0.4579 acc=0.8187
[2026-02-25 18:26:48] [dummy_scienceqa/liquid_real_train] epoch=4 step=40 loss=0.4050 acc=0.8422
[2026-02-25 18:26:52] [dummy_scienceqa/liquid_real_train] epoch=4 step=60 loss=0.4067 acc=0.8375
[2026-02-25 18:26:55] [dummy_scienceqa/liquid_real_train] epoch=4 step=80 loss=0.4314 acc=0.8367
[2026-02-25 18:26:58] [dummy_scienceqa/liquid_real_train] epoch=4 step=100 loss=0.4290 acc=0.8363
[2026-02-25 18:27:00] [dummy_scienceqa/liquid_real_train] epoch=4 step=120 loss=0.4251 acc=0.8349
[2026-02-25 18:27:04] [dummy_scienceqa/liquid_real_train] epoch=4 step=140 loss=0.4316 acc=0.8304
[2026-02-25 18:27:06] [dummy_scienceqa/liquid_real_train] epoch=4 step=160 loss=0.4316 acc=0.8293
[2026-02-25 18:27:09] [dummy_scienceqa/liquid_real_train] epoch=4 step=180 loss=0.4442 acc=0.8274
[2026-02-25 18:27:13] [dummy_scienceqa/liquid_real_train] epoch=4 step=200 loss=0.4322 acc=0.8309
[2026-02-25 18:27:16] [dummy_scienceqa/liquid_real_train] epoch=4 step=220 loss=0.4451 acc=0.8256
[2026-02-25 18:27:19] [dummy_scienceqa/liquid_real_train] epoch=4 step=240 loss=0.4404 acc=0.8268
[2026-02-25 18:27:22] [dummy_scienceqa/liquid_real_train] epoch=4 step=260 loss=0.4441 acc=0.8262
[2026-02-25 18:27:25] [dummy_scienceqa/liquid_real_train] epoch=4 step=280 loss=0.4500 acc=0.8257
[2026-02-25 18:27:28] [dummy_scienceqa/liquid_real_train] epoch=4 step=300 loss=0.4483 acc=0.8267
[2026-02-25 18:27:31] [dummy_scienceqa/liquid_real_train] epoch=4 step=320 loss=0.4447 acc=0.8273
[2026-02-25 18:27:35] [dummy_scienceqa/liquid_real_train] epoch=4 step=340 loss=0.4431 acc=0.8290
[2026-02-25 18:27:38] [dummy_scienceqa/liquid_real_train] epoch=4 step=360 loss=0.4407 acc=0.8292
[2026-02-25 18:27:41] [dummy_scienceqa/liquid_real_train] epoch=4 step=380 loss=0.4463 acc=0.8263
[2026-02-25 18:27:44] [dummy_scienceqa/liquid_real_train] epoch=4 step=400 loss=0.4448 acc=0.8267
[2026-02-25 18:27:47] [dummy_scienceqa/liquid_real_train] epoch=4 step=420 loss=0.4453 acc=0.8274
[2026-02-25 18:27:50] [dummy_scienceqa/liquid_real_train] epoch=4 step=440 loss=0.4453 acc=0.8284
[2026-02-25 18:27:52] [dummy_scienceqa/liquid_real_train] epoch=4 step=460 loss=0.4413 acc=0.8291
[2026-02-25 18:27:55] [dummy_scienceqa/liquid_real_train] epoch=4 step=480 loss=0.4464 acc=0.8268
[2026-02-25 18:27:58] [dummy_scienceqa/liquid_real_train] epoch=4 step=500 loss=0.4470 acc=0.8269
[2026-02-25 18:28:01] [dummy_scienceqa/liquid_real_train] epoch=4 step=520 loss=0.4467 acc=0.8263
[2026-02-25 18:28:04] [dummy_scienceqa/liquid_real_train] epoch=4 step=540 loss=0.4479 acc=0.8264
[2026-02-25 18:28:08] [dummy_scienceqa/liquid_real_train] epoch=4 step=560 loss=0.4521 acc=0.8248
[2026-02-25 18:28:11] [dummy_scienceqa/liquid_real_train] epoch=4 step=580 loss=0.4497 acc=0.8255
[2026-02-25 18:28:14] [dummy_scienceqa/liquid_real_train] epoch=4 step=600 loss=0.4494 acc=0.8255
[2026-02-25 18:28:17] [dummy_scienceqa/liquid_real_train] epoch=4 step=620 loss=0.4502 acc=0.8252
[2026-02-25 18:28:20] [dummy_scienceqa/liquid_real_train] epoch=4 step=640 loss=0.4505 acc=0.8251
