/root/miniconda3/lib/python3.12/site-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/train-00000-of-00001-1028f23e353fbe3e.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
[2026-02-25 15:55:19] Running dummy_scienceqa/liquid_final_run on device=cpu
[2026-02-25 16:04:07] [dummy_scienceqa/liquid_final_run] epoch=2 step=720 loss=0.9577 acc=0.4010
[2026-02-25 16:04:12] [dummy_scienceqa/liquid_final_run] epoch=2 step=740 loss=0.9580 acc=0.4001
[2026-02-25 16:04:16] [dummy_scienceqa/liquid_final_run] epoch=2 step=760 loss=0.9574 acc=0.4015
[2026-02-25 16:04:21] [dummy_scienceqa/liquid_final_run] epoch=2 step=780 loss=0.9586 acc=0.4014
[2026-02-25 16:05:04] [dummy_scienceqa/liquid_final_run] epoch=3 step=20 loss=0.9580 acc=0.3625
[2026-02-25 16:05:08] [dummy_scienceqa/liquid_final_run] epoch=3 step=40 loss=0.9592 acc=0.4203
[2026-02-25 16:05:13] [dummy_scienceqa/liquid_final_run] epoch=3 step=60 loss=0.9516 acc=0.4083
[2026-02-25 16:05:17] [dummy_scienceqa/liquid_final_run] epoch=3 step=80 loss=0.9537 acc=0.4078
[2026-02-25 16:05:22] [dummy_scienceqa/liquid_final_run] epoch=3 step=100 loss=0.9557 acc=0.3944
[2026-02-25 16:05:26] [dummy_scienceqa/liquid_final_run] epoch=3 step=120 loss=0.9530 acc=0.3974
[2026-02-25 16:05:31] [dummy_scienceqa/liquid_final_run] epoch=3 step=140 loss=0.9535 acc=0.3933
[2026-02-25 16:05:35] [dummy_scienceqa/liquid_final_run] epoch=3 step=160 loss=0.9551 acc=0.3996
[2026-02-25 16:05:40] [dummy_scienceqa/liquid_final_run] epoch=3 step=180 loss=0.9573 acc=0.3941
[2026-02-25 16:05:45] [dummy_scienceqa/liquid_final_run] epoch=3 step=200 loss=0.9567 acc=0.3934
[2026-02-25 16:05:50] [dummy_scienceqa/liquid_final_run] epoch=3 step=220 loss=0.9557 acc=0.3966
[2026-02-25 16:05:54] [dummy_scienceqa/liquid_final_run] epoch=3 step=240 loss=0.9554 acc=0.3974
[2026-02-25 16:05:59] [dummy_scienceqa/liquid_final_run] epoch=3 step=260 loss=0.9565 acc=0.3930
[2026-02-25 16:06:03] [dummy_scienceqa/liquid_final_run] epoch=3 step=280 loss=0.9565 acc=0.3915
[2026-02-25 16:06:08] [dummy_scienceqa/liquid_final_run] epoch=3 step=300 loss=0.9573 acc=0.3910
[2026-02-25 16:06:13] [dummy_scienceqa/liquid_final_run] epoch=3 step=320 loss=0.9594 acc=0.3924
[2026-02-25 16:06:17] [dummy_scienceqa/liquid_final_run] epoch=3 step=340 loss=0.9594 acc=0.3919
[2026-02-25 16:06:22] [dummy_scienceqa/liquid_final_run] epoch=3 step=360 loss=0.9605 acc=0.3920
[2026-02-25 16:06:27] [dummy_scienceqa/liquid_final_run] epoch=3 step=380 loss=0.9590 acc=0.3926
[2026-02-25 16:06:32] [dummy_scienceqa/liquid_final_run] epoch=3 step=400 loss=0.9591 acc=0.3966
[2026-02-25 16:06:37] [dummy_scienceqa/liquid_final_run] epoch=3 step=420 loss=0.9592 acc=0.3963
[2026-02-25 16:06:41] [dummy_scienceqa/liquid_final_run] epoch=3 step=440 loss=0.9582 acc=0.3973
[2026-02-25 16:06:46] [dummy_scienceqa/liquid_final_run] epoch=3 step=460 loss=0.9584 acc=0.3993
[2026-02-25 16:06:51] [dummy_scienceqa/liquid_final_run] epoch=3 step=480 loss=0.9580 acc=0.4007
[2026-02-25 16:06:56] [dummy_scienceqa/liquid_final_run] epoch=3 step=500 loss=0.9583 acc=0.3999
[2026-02-25 16:07:01] [dummy_scienceqa/liquid_final_run] epoch=3 step=520 loss=0.9587 acc=0.3981
[2026-02-25 16:07:05] [dummy_scienceqa/liquid_final_run] epoch=3 step=540 loss=0.9589 acc=0.3981
[2026-02-25 16:07:11] [dummy_scienceqa/liquid_final_run] epoch=3 step=560 loss=0.9593 acc=0.3981
[2026-02-25 16:07:15] [dummy_scienceqa/liquid_final_run] epoch=3 step=580 loss=0.9592 acc=0.3968
[2026-02-25 16:07:19] [dummy_scienceqa/liquid_final_run] epoch=3 step=600 loss=0.9595 acc=0.3976
[2026-02-25 16:07:26] [dummy_scienceqa/liquid_final_run] epoch=3 step=620 loss=0.9600 acc=0.3985
[2026-02-25 16:07:31] [dummy_scienceqa/liquid_final_run] epoch=3 step=640 loss=0.9597 acc=0.3986
[2026-02-25 16:07:37] [dummy_scienceqa/liquid_final_run] epoch=3 step=660 loss=0.9605 acc=0.3981
[2026-02-25 16:07:44] [dummy_scienceqa/liquid_final_run] epoch=3 step=680 loss=0.9606 acc=0.3979
[2026-02-25 16:07:51] [dummy_scienceqa/liquid_final_run] epoch=3 step=700 loss=0.9603 acc=0.3990
[2026-02-25 16:07:57] [dummy_scienceqa/liquid_final_run] epoch=3 step=720 loss=0.9612 acc=0.4000
[2026-02-25 16:08:01] [dummy_scienceqa/liquid_final_run] epoch=3 step=740 loss=0.9611 acc=0.3992
[2026-02-25 16:08:07] [dummy_scienceqa/liquid_final_run] epoch=3 step=760 loss=0.9610 acc=0.3991
[2026-02-25 16:08:13] [dummy_scienceqa/liquid_final_run] epoch=3 step=780 loss=0.9610 acc=0.3985
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
Loading data from parquet files: ['/root/autodl-tmp/project/data/raw/scienceqa/data/test-00000-of-00001-f0e719df791966ff.parquet']
{'dataset': 'dummy_scienceqa', 'experiment': 'liquid_final_run', 'seed': 3407, 'run_dir': 'outputs/runs/dummy_scienceqa/liquid_final_run/seed_3407', 'best_val_accuracy': 0.4006130629568498, 'test_accuracy': 0.3999056826220231, 'avg_steps': 1.0}
